WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00000+7530,A  1248,0,1904,1982,246,235,0.8,0.6,10.27,11.5,+74 1056,0,0,00 00 06.64,+75 28 59.8,00 00 06.64,+75 28 59.8,5483370411004738685,6713547864349925764
00000+4004,ES 2543,AB,1931,2015,252,253,4.8,4.4,12.1,13.1,0,0,0,00 00 03.66,+40 05 19.4,00 00 03.66,+40 05 19.4,4008447136637101114,6954774106390277361
00000+4004,ES 2543,AC,1931,2015,69,66,20.0,14.4,12.1,14.1,0,0,0,00 00 03.66,+40 05 19.4,00 00 03.66,+40 05 19.4,-5025226676460543662,1873780537059611486
00000+3852,BU  860,0,1881,2016,107,107,6.7,6.6,6.62,11.4,+38 5108,0,0,00 00 01.20,+38 51 33.4,00 00 01.20,+38 51 33.4,6141154503833430413,-8627031810362334363
00000+0044,SKF1115,0,2001,2015,33,30,0.8,1.0,17.8,17.8,0,0,0,23 59 59.85,+00 43 32.7,23 59 59.85,+00 43 32.7,-9208478573443394108,-6927650652811481503
00000-0530,OCC 622,0,1982,1982,-1,-1,0.1,0.1,9.5,9.7,-06 6337,0,0,00 00 00.08,-05 29 39.7,00 00 00.08,-05 29 39.7,-812865393024760691,-3066826203551516307
00001+7727,LOC 122,0,2000,2016,249,249,8.2,8.1,14.1,16.6,0,T,0,00 00 08.32,+77 26 37.0,00 00 08.32,+77 26 37.0,-232192463413684512,-6640772999149782057
00001+5400,ES  704,0,1908,2021,119,116,5.5,4.3,9.5,11.5,0,0,0,00 00 06.84,+54 00 00.2,00 00 06.84,+54 00 00.2,-911847905487854704,5894389882741684489
00001+3617,GII  75,0,2013,2022,220,220,1.0,1.0,10.9,11.8,0,0,0,00 00 06.81,+36 16 58.8,00 00 06.81,+36 16 58.8,4780520549768988179,5019427558981924769
00001+2329,SLW9018,0,2009,2016,91,92,2.1,2.1,16.7,17.1,0,0,0,00 00 07.96,+23 29 23.3,00 00 07.96,+23 29 23.3,1952766082151420199,344350382222155468
00001+0638,SLW9012,0,2005,2005,29,29,4.2,4.2,17.3,23.7,0,0,0,00 00 03.39,+06 37 01.5,00 00 03.39,+06 37 01.5,-2885944490334889520,-1815976239280881149
00001+0022,SKF1060,0,2001,2015,187,184,2.1,2.2,20.1,21.9,0,0,0,00 00 03.15,+00 21 33.3,00 00 03.15,+00 21 33.3,-3126636789324870161,-5492431168653995301
00001-0122,CLZ   1,0,1994,2016,347,347,6.2,6.2,12.3,16.4,0,0,0,00 00 03.82,-01 22 24.4,00 00 03.82,-01 22 24.4,-3532677309189857571,4839574460767631539
00001-2432,UC  301,0,1954,2015,283,283,46.9,47.0,10.49,12.99,0,V,0,00 00 05.16,-24 31 45.0,00 00 05.16,-24 31 45.0,9141482334713728624,-2612035059011830144
00001-5700,KPP4401,0,2015,2016,145,145,2.5,2.5,14.2,16.8,0,T,0,00 00 04.94,-56 59 39.5,00 00 04.94,-56 59 39.5,-8560441323351095101,-2627671482962971437
00002+4119,TDS1235,AB,1991,2016,105,68,0.5,1.7,10.27,10.67,+40 5210,Y,0,00 00 10.69,+41 19 28.9,00 00 10.69,+41 19 28.9,1155608550757853229,-2050608298935031455
00002+4119,FYM 352,AC,1999,2015,260,261,16.6,16.5,10.3,13.2,0,0,0,00 00 10.69,+41 19 28.9,00 00 10.69,+41 19 28.9,7314001515539636934,-3143049257901394258
00002+3613,TDS1236,0,1991,2015,345,334,0.8,0.5,11.79,11.88,0,0,0,00 00 11.45,+36 13 26.5,00 00 11.45,+36 13 26.5,1460806640886045113,4356681369998995591
00002+2855,TVB  17,0,1906,2016,320,322,11.7,11.9,12.51,12.42,0,0,0,00 00 10.03,+28 54 32.6,00 00 10.03,+28 54 32.6,3865881202240509989,1056791650436331977
00002+0146,WEI  45,0,1879,2018,89,82,1.8,1.8,10.09,10.52,+00 5079,N,0,00 00 12.14,+01 46 17.2,00 00 12.14,+01 46 17.2,3551449884337173917,2001724495181719438
