PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,frame_hash
798588,00 00 02.7,-23 39 12,G,,0.42,0.17,98.0,IRAS23574-2356,-2355574353460974990
775808,00 00 02.7,-25 43 01,G,,0.6,0.34,25.0,,5326204220156940026
580652,00 00 02.8,-40 57 10,G,,0.37,0.16,89.0,,4531193185161796509
143105,00 00 02.8,-34 03 53,G,,0.79,0.55,27.0,,-2106970681709991708
923433,00 00 02.9,-14 31 47,G,,0.62,0.48,24.0,,5420706881762344594
2440109,00 00 02.9,+53 24 11,G,,0.39,0.09,110.0,,135218119663081058
2043919,00 00 02.9,+34 06 19,G,,0.4,0.06,6.0,,4067156425758601538
371047,00 00 02.9,-59 29 21,G,,0.73,0.37,122.0,,5644235097869483746
819342,00 00 03.0,-22 05 36,G,,0.5,0.25,6.0,,6128869923697268486
551686,00 00 03.1,-43 12 27,G,,0.42,0.22,17.0,,3031576281370949570
675391,00 00 03.1,-33 30 34,G,,0.37,0.16,144.0,,-5820630874854939396
533457,00 00 03.1,-44 48 18,G,,0.39,0.06,130.0,,-1409983044247213016
836270,00 00 03.1,-20 50 29,G,,0.4,0.26,122.0,,-2700796402559593717
3,00 00 03.1,-18 00 30,G,Sc,0.82,0.36,,MCG-3-01-012          IRAS23574-1817,-7981887879222043270
2028486,00 00 03.1,+33 17 12,G,,0.39,0.07,10.0,,-2909451492998721204
775188,00 00 03.2,-25 46 33,G,,0.64,0.51,,,-8559601854394658230
1126440,00 00 03.2,-01 06 48,G,,0.41,0.15,130.0,,9209850650705960727
974615,00 00 03.3,-10 43 16,G,,0.7,0.69,158.0,,-5273526047647090508
4,00 00 03.4,+23 05 16,G,Sc,0.93,0.68,63.0,KUG2357+228817,-3540310236399612360
1964345,00 00 03.5,+31 47 11,G,,0.74,0.16,162.0,,-4500410105486589742
598724,00 00 03.5,-39 23 19,G,,0.4,0.07,134.0,,-2760162366138400856
754953,00 00 03.5,-27 26 08,G,,0.58,0.38,67.0,,-3652176704800124490
73199,00 00 03.6,+26 00 50,G,Sc,0.86,0.37,79.0,KUG2357+257817,-9216321066058082969
780860,00 00 03.7,-25 15 59,G,,0.49,0.07,26.0,,2257844451248490849
699349,00 00 03.8,-31 55 06,G,,0.46,0.26,154.0,,4346350388083611331
781784,00 00 03.9,-25 10 56,G,,0.4,0.13,55.0,,4191300837151574492
129171,00 00 04.0,-49 16 52,G,Sc,0.82,0.34,121.0,,8379537106459046635
445008,00 00 04.0,-52 21 58,G,,0.54,0.18,162.0,,5139117079198819703
467390,00 00 04.1,-50 20 55,G,,0.4,0.2,90.0,,6001020532547805202
2051005,00 00 04.2,+34 33 24,G,,0.48,0.12,154.0,,2746123587208581135
7,00 00 04.4,-00 05 04,GM,E-SO,0.75,0.09,162.0,MCG0-01-014           CGCG382-14            KPG600A               ARK590                NPM1G-00.0642,-73305539878771760
771092,00 00 04.5,-26 08 25,G,,0.44,0.06,54.0,,-884020303674886036
2794825,00 00 04.5,-39 28 04,G,,,,,,-8784569139825859989
822314,00 00 04.5,-21 53 18,G,,0.64,0.32,105.0,,6903983767106954636
997239,00 00 04.6,-08 56 38,G,,0.52,0.36,64.0,,-1850000969972082740
2012302,00 00 04.7,+32 47 11,G,,0.49,0.04,,,-8154921295563289783
1045312,00 00 04.7,-05 23 34,G,,0.55,0.08,59.0,,393859196246339463
143106,00 00 04.7,+00 46 54,G,,0.6,0.17,130.0,,7370125203106873675
485907,00 00 04.8,-48 35 01,G,,0.46,0.35,148.0,,8678424516587967612
842368,00 00 04.9,-20 23 40,G,,0.38,0.21,107.0,,8682059550867141280
241481,00 00 04.9,-76 06 48,G,,0.6,0.28,4.0,,-4193933455962052402
639823,00 00 04.9,-36 10 58,G,,0.51,0.4,156.0,,7301858746920354769
829250,00 00 04.9,-21 21 51,G,,0.35,0.05,,,-2762022618386282495
409805,00 00 05.0,-55 23 50,G,,0.44,0.24,144.0,,-1933782520714237614
8,00 00 05.1,-77 20 12,GM,,0.5,0.25,85.0,(ESO12-11)            ESO-LV120112,-5971842265261258034
15,00 00 05.1,-05 12 34,G,Sc,0.82,0.0,,MCG-1-01-015,-7047799036971501633
803029,00 00 05.1,-23 14 39,G,,0.59,0.06,72.0,,-851746025701616271
868555,00 00 05.2,-18 24 16,G,,0.37,0.16,93.0,,-7987778754350127182
1815123,00 00 05.2,+27 41 00,G,,0.78,0.5,130.0,,-2698655913932467968
754212,00 00 05.2,-27 29 15,G,,0.55,0.12,166.0,,6545471700490007670
505166,00 00 05.3,-47 11 40,G,,0.46,0.34,53.0,,-1935823091089370992
674186,00 00 05.4,-33 35 47,G,,0.56,0.08,89.0,,-3422029041643063334
1344920,00 00 05.5,+08 20 38,G,,0.61,0.17,171.0,,-6937813810056534854
1828876,00 00 05.6,+28 11 30,G,,0.64,0.35,87.0,,766346865619591132
305939,00 00 05.6,-66 17 36,G,,0.54,0.42,46.0,,-788265821892303345
1124039,00 00 05.6,-01 12 58,G,,0.5,0.13,79.0,,-71569050104092349
352023,00 00 05.7,-61 49 43,G,,0.38,0.06,26.0,,-7612369154658172394
490478,00 00 05.7,-48 10 01,G,,0.42,0.07,67.0,,-5396709262935432457
199318,00 00 05.8,-35 39 21,G,,0.67,0.31,144.0,DUKST349-64,-940855960790460674
407967,00 00 05.9,-55 34 42,G,,0.56,0.09,154.0,,-1328077610228632626
568532,00 00 05.9,-42 05 02,G,,0.42,0.17,14.0,,-8010230519780825718
1714178,00 00 05.9,+24 42 20,G,,0.41,0.17,53.0,,4941440132343851144
544278,00 00 06.0,-43 48 58,G,,0.45,0.35,122.0,,7695309416236713276
2437857,00 00 06.0,+53 19 29,G,,0.58,0.1,55.0,,5402064394761904337
1593955,00 00 06.0,+19 28 59,G,,0.36,0.05,96.0,,2188880893177675467
1484403,00 00 06.1,+15 25 48,G,,0.63,0.32,143.0,,-2356526628453808181
3094158,00 00 06.1,-18 31 32,G,,,,,NPM1G-18.0637,-9033411095584617418
1829164,00 00 06.1,+28 12 08,G,,0.75,0.38,169.0,,-3212613805223283701
843187,00 00 06.1,-20 20 03,G,,0.39,0.1,67.0,,-9202868778988268728
1002429,00 00 06.1,-08 32 22,G,,0.47,0.4,112.0,,-129147749847570623
143108,00 00 06.3,-31 51 09,G,,,,,,-8357017354812695928
904436,00 00 06.4,-15 56 41,G,,0.44,0.14,153.0,,-3719404174163086894
298892,00 00 06.4,-67 07 41,G,,0.48,0.15,27.0,,7554815558000900360
2437724,00 00 06.5,+53 19 14,G,,0.8,0.13,10.0,,5504149532043093644
722186,00 00 06.5,-30 02 19,G,,0.46,0.17,167.0,,2913022190281401824
1088566,00 00 06.6,-02 33 44,G,,0.34,0.07,2.0,,-6551542627670283494
2050404,00 00 06.6,+34 30 54,G,,0.62,0.06,161.0,NPM1G+34.0479,-4907685035695719308
828790,00 00 06.6,-21 24 00,G,,0.61,0.16,174.0,,-5303743076487180090
516670,00 00 06.6,-46 17 54,G,,0.43,0.14,106.0,,-1339226237427014155
1959230,00 00 06.6,+31 41 11,G,,0.41,0.16,179.0,,-2298611136479923826
143109,00 00 06.7,-07 52 30,G,,0.65,0.07,137.0,,1853958192027542295
1968980,00 00 06.7,+31 52 35,G,,0.36,0.06,45.0,,5580807130686750644
646504,00 00 06.7,-35 37 46,G,,0.46,0.16,48.0,,5679029101054381767
1085315,00 00 06.7,-02 41 07,G,,0.41,0.02,,,-5063861876964049478
643813,00 00 06.8,-35 51 12,G,,0.37,0.01,,,5127534145678445189
781029,00 00 06.8,-25 15 01,G,,0.47,0.18,28.0,,1252244461325724290
515027,00 00 06.9,-46 26 15,G,,0.37,0.17,140.0,,-6830256802794813878
515100,00 00 07.0,-46 25 50,G,,0.49,0.43,58.0,,8283597012621215337
14,00 00 07.0,+08 16 45,G,E,1.16,0.23,9.0,UGC12890              MCG1-01-006           NPM1G+08.0585,1524479774653010989
1814613,00 00 07.0,+27 39 53,G,,0.58,0.14,42.0,,7519809487188921505
836717,00 00 07.1,-20 48 23,G,,0.47,0.06,79.0,,-5838529150790641695
1561449,00 00 07.1,+18 30 12,G,,0.6,0.12,104.0,NPM1G+18.0615,3813949005336038350
311006,00 00 07.1,-65 41 44,G,,0.71,0.41,1.0,,-8056846934661105107
751018,00 00 07.1,-27 42 19,G,,0.75,0.61,68.0,,8464799888098446513
835763,00 00 07.2,-20 52 36,G,,0.37,0.13,83.0,,8106192570662529878
1002173,00 00 07.2,-08 33 34,G,,0.34,0.09,99.0,,6480204749128568289
357331,00 00 07.3,-61 11 06,G,,0.65,0.03,,,-6857518359080058254
910891,00 00 07.3,-15 27 56,G,,0.55,0.27,2.0,,3684907708984530419
1095612,00 00 07.3,-02 18 40,G,,0.57,0.45,73.0,,5723221764017247725
716243,00 00 07.3,-30 31 18,G,,0.53,0.3,122.0,,-72270840252580153
1299751,00 00 07.3,+06 23 11,G,,0.6,0.23,106.0,,-1704002169552197813
862935,00 00 07.5,-18 51 09,G,,0.4,0.2,82.0,,5575757149291813473
500755,00 00 07.5,-47 28 40,G,,0.48,0.12,163.0,,4134755827545111460
822052,00 00 07.6,-21 54 23,G,,0.53,0.1,30.0,,-2438806867843831643
1982660,00 00 07.6,+32 08 55,G,,0.32,0.0,,,6096140048595597330
517139,00 00 07.6,-46 15 18,G,,0.5,0.4,142.0,,-6132487817395059276
874998,00 00 07.6,-17 56 43,G,,0.31,0.08,169.0,,3128955382503836336
2024610,00 00 07.6,+33 08 37,G,,0.69,0.15,160.0,,-6265917620943251042
2009332,00 00 07.6,+32 42 51,G,,0.42,0.13,46.0,,5010194772941245146
238506,00 00 07.7,-76 52 33,G,,0.66,0.54,158.0,,-8789990224948086847
10,00 00 07.7,-00 02 28,GM,E-SO,0.74,0.09,34.0,MCG0-01-015           CGCG382-15            KPG600B               ARK591                KAZ579                NPM1G-00.0643,-1462629671710708579
2794826,00 00 07.8,-39 38 59,G,,,,,,8489465471464494618
901600,00 00 07.8,-16 10 04,G,,0.57,0.57,155.0,,1030295274925706230
734383,00 00 07.8,-29 01 30,G,,0.65,0.7,17.0,,-3724231515438722372
2020938,00 00 07.9,+33 01 22,G,,0.41,0.12,46.0,,8687535809622103340
336454,00 00 07.9,-63 03 10,G,,0.6,0.61,70.0,,-513757140058602929
1494405,00 00 07.9,+15 50 00,G,,0.44,0.17,167.0,,-9005228651943554561
3096763,00 00 07.9,-63 35 36,G,,,,,,8715935728024161757
2424646,00 00 07.9,+52 49 28,G,,0.48,0.21,20.0,,-4538195947412206469
366576,00 00 08.0,-60 02 40,G,,0.58,0.06,53.0,,5418991831031143515
1982575,00 00 08.1,+32 08 49,G,,0.57,0.1,41.0,,2756831349739968113
128384,00 00 08.1,-53 50 46,G,Sc,0.88,0.14,101.0,,-3405514890091598215
781542,00 00 08.1,-25 12 18,G,,0.46,0.05,152.0,,-8641101929916402358
448668,00 00 08.3,-52 06 15,G,,0.43,0.11,29.0,,-3221002987486201742
2396426,00 00 08.3,+51 34 52,G,,0.58,0.48,164.0,,6695879725142051205
840248,00 00 08.3,-20 32 34,G,,0.45,0.31,107.0,,202324077830342110
9,00 00 08.3,-77 20 19,GM,,0.62,0.24,121.0,(ESO12-11)            ESO-LV120111,-5109413824317511301
435042,00 00 08.3,-53 02 18,G,,0.53,0.36,124.0,,3459468337640445092
1847159,00 00 08.4,+28 49 37,G,,0.39,0.02,,,3172062483494681398
89489,00 00 08.4,-60 33 04,G,,,,,,5894361401675002132
834290,00 00 08.5,-20 58 50,G,,0.45,0.09,83.0,,3515405073173741062
489837,00 00 08.5,-48 13 14,G,,0.57,0.28,159.0,,2851744789483982963
333813,00 00 08.6,-63 17 11,G,,0.44,0.15,52.0,,-1073046478635388796
300744,00 00 08.6,-66 55 34,G,,0.45,0.19,,,-7416882853108973189
12,00 00 08.6,-06 22 26,G,Sa,1.16,0.69,167.0,MCG-1-01-016,-5155891342492130593
1629533,00 00 08.7,+20 31 02,G,,0.53,0.17,53.0,,-4034683486327654180
143111,00 00 08.8,-33 41 36,G,,0.78,0.35,137.0,,-1209447211949530969
644055,00 00 08.8,-35 50 02,G,,0.37,0.06,77.0,,7037635256396794907
73200,00 00 08.8,+25 21 00,G,Sc,0.65,0.25,51.0,KUG2357+2506          IRAS23575+2504,-2295469827465875922
130029,00 00 08.8,-46 04 50,M,,0.7,0.21,116.0,,2085490242430620825
519650,00 00 08.9,-46 02 42,G,,0.65,0.61,86.0,,-3422108030700158731
644546,00 00 08.9,-35 47 34,G,,0.47,0.27,110.0,,-3104655696811725071
922133,00 00 09.0,-14 37 43,G,,0.38,0.14,99.0,,4292682613980047509
890587,00 00 09.0,-16 59 11,G,,0.78,0.13,111.0,,7911412675175771463
1481182,00 00 09.0,+15 18 36,G,,0.41,0.14,179.0,,-5714084078049751864
11,00 00 09.0,-77 20 29,GM,,0.65,0.27,29.0,(ESO12-11)            ESO-LV120110          IRAS23575-7737,-6429506106882858419
2437788,00 00 09.1,+53 19 20,G,,0.53,0.04,,,1097867902959162371
386752,00 00 09.1,-57 41 54,G,,0.52,0.17,93.0,,-85507496490285414
1958694,00 00 09.1,+31 40 33,G,,0.39,0.13,85.0,,6119631392599124478
1065274,00 00 09.1,-03 54 56,G,,0.41,0.13,35.0,,-9076800824019276614
5,00 00 09.1,+32 44 18,G,SO-a,0.94,0.06,148.0,IC5370                MCG5-01-018           CGCG499-28            CGCG498-56            NPM1G+32.0620,8103374001657463457
1561228,00 00 09.1,+18 29 44,G,,0.43,0.08,101.0,,-4854853718313861735
1961266,00 00 09.2,+31 43 37,G,,0.49,0.13,144.0,,3653617618765472249
362914,00 00 09.3,-60 29 36,G,,0.28,0.02,,,-3017883143041978208
2390722,00 00 09.3,+51 14 03,G,,0.43,0.07,50.0,,-8767997976819005589
331419,00 00 09.4,-63 32 56,G,,0.64,0.42,115.0,,-3240961889788281200
1038494,00 00 09.4,-05 57 17,G,,0.39,0.03,,,4054896359510349012
2817385,00 00 09.4,+30 09 10,G,,,,,IRAS23575+2952,1747330553984224293
1915168,00 00 09.5,+30 43 12,G,,0.61,0.28,106.0,,-6397839503015088299
2794827,00 00 09.6,-40 03 35,G,,,,,,-7279348050352201209
389191,00 00 09.6,-57 30 12,G,,0.51,0.43,27.0,,1798600593829763854
731485,00 00 09.8,-29 15 21,G,,0.35,0.08,150.0,,-3556183744095532484
141432,00 00 09.8,-63 35 38,G,,0.68,0.66,134.0,,2920169482924513447
658336,00 00 09.8,-34 43 45,G,,0.46,0.25,6.0,,-7762104362598089997
731927,00 00 09.8,-29 13 07,G,,0.55,0.15,76.0,,6498437721049636460
1595669,00 00 09.8,+19 31 38,G,,0.75,0.15,161.0,NPM1G+19.0601,-2718596894235107053
1600746,00 00 09.8,+19 39 32,G,,0.36,0.04,,,1589476256925958810
199310,00 00 09.9,-36 13 47,G,,0.77,0.48,3.0,DUKST349-52,1921311674863289408
1524287,00 00 10.0,+17 05 10,G,,0.53,0.14,127.0,,-3655863302345204904
199349,00 00 10.1,-34 26 34,G,,0.6,0.17,109.0,DUKST349-107,8581207667442010086
143112,00 00 10.1,-29 09 51,G,,0.77,0.46,168.0,,2126747094439369052
740598,00 00 10.1,-28 31 40,G,,0.42,0.23,120.0,,8624372429886989666
1171243,00 00 10.2,+00 38 03,G,,0.36,0.12,111.0,,-4861706864220629240
2126041,00 00 10.2,+38 24 14,G,,0.68,0.44,130.0,,7588093456084160051
1292751,00 00 10.2,+05 59 51,G,,0.67,0.04,,,-5954731022362668116
404170,00 00 10.3,-55 59 18,G,,0.56,0.41,112.0,,-1942791350533929064
712391,00 00 10.4,-30 50 07,G,,0.47,0.12,48.0,,-4087158473370760925
17,00 00 10.4,+04 55 51,G,,,,,UM15,110896097873959083
1712039,00 00 10.5,+24 37 29,G,,0.45,0.28,0.0,,-8508289105915725018
661266,00 00 10.5,-34 30 38,G,,0.55,0.44,109.0,,188595966860395313
1324628,00 00 10.5,+07 32 51,G,,0.51,0.06,66.0,,2778002216385634263
835348,00 00 10.6,-20 54 23,G,,0.46,0.31,137.0,,-1190404696081087684
1672379,00 00 10.6,+22 34 13,G,,0.47,0.21,140.0,,8753929834176901125
685756,00 00 10.6,-32 48 33,G,,0.33,0.1,14.0,,-1020680013738058984
848756,00 00 10.7,-19 55 05,G,,0.37,0.14,122.0,,-3408552945950746663
616386,00 00 10.7,-37 52 05,G,,0.46,0.25,161.0,,-4452756331336828544
143113,00 00 10.7,-48 31 26,G,,0.72,0.15,114.0,,-4246065659528953986
874861,00 00 10.8,-17 57 19,G,,0.54,0.48,151.0,,168757401857882072
1011026,00 00 11.0,-07 54 59,G,,0.43,0.31,111.0,,-9006316910270899765
124375,00 00 11.0,-41 32 00,G,,,,,LCRSB235737.0-414841,929973636327327594
1808464,00 00 11.1,+27 26 55,G,,0.47,0.24,56.0,,1912827166550369361
2050562,00 00 11.1,+34 31 39,G,,0.69,0.11,154.0,NPM1G+34.0480,8198802720468917467
363523,00 00 11.1,-60 24 58,G,,0.41,0.21,92.0,,4686520842024740371
879655,00 00 11.1,-17 39 29,G,,0.45,0.17,43.0,,-3959247586595877342
95111,00 00 11.1,-47 07 45,G,SO-a,0.65,0.38,126.0,,8171209955837008557
16,00 00 11.3,-05 09 32,G,Sab,0.96,0.31,37.0,MCG-1-01-017,1879542395521009101
977924,00 00 11.3,-10 27 41,G,,0.49,0.34,70.0,,-2548187757024581813
928210,00 00 11.3,-14 09 28,G,,0.49,0.21,60.0,,-6226904730580471665
1587819,00 00 11.3,+19 18 32,G,,0.41,0.06,148.0,,-1951316617746005453
1891299,00 00 11.4,+30 07 37,G,,0.49,0.13,110.0,,-1627794770384749457
124376,00 00 11.4,-41 22 34,G,,,,,LCRSB235737.4-413915,-644386970804863715
661506,00 00 11.5,-34 29 32,G,,0.38,0.13,147.0,,-2347667239133214719
2794828,00 00 11.5,-39 35 26,G,,,,,,1733381809059191871
519264,00 00 11.5,-46 04 44,G,,0.37,0.16,97.0,,-5035633109669509599
660701,00 00 11.6,-34 33 17,G,,0.57,0.33,153.0,,562596992518307212
1011317,00 00 11.7,-07 53 53,G,,0.39,0.21,11.0,,-939698364464762038
874834,00 00 11.7,-17 57 26,G,,0.6,0.43,5.0,,8350675614968871338
408788,00 00 11.7,-55 29 48,G,,0.59,0.56,120.0,,-6995120496915336143
656049,00 00 11.7,-34 53 52,G,,0.36,0.17,142.0,,-4456452829429377830
3095388,00 00 11.7,+05 23 17,G,,,,,,5668106455475002886
1448967,00 00 11.8,+14 05 23,G,,0.67,0.31,108.0,,-3325949941425150214
623522,00 00 11.9,-37 24 49,G,,0.54,0.29,92.0,,-3724040126351393467
939754,00 00 11.9,-13 18 24,G,,0.67,0.56,15.0,,8744414126126095462
1262173,00 00 11.9,+04 00 46,G,,0.58,0.11,134.0,,-4615488746763460422
552018,00 00 12.0,-43 11 09,G,,0.42,0.12,148.0,,1621626370846799450
2409567,00 00 12.0,+52 13 12,G,,0.33,0.06,178.0,,-6956923443935962937
741083,00 00 12.1,-28 29 21,G,,0.43,0.25,124.0,,7394447619872977214
100703,00 00 12.1,-66 30 46,G,SO-a,0.9,0.06,98.0,,-6819979807237454538
2817447,00 00 12.1,+02 05 49,G,,0.72,0.32,98.0,IRAS23576+0149413915,423253399356058389
1034336,00 00 12.2,-06 18 38,G,,0.48,0.11,30.0,NPM1G-06.0625,-6057843066736725790
1981702,00 00 12.2,+32 07 47,G,,0.45,0.03,,,28382958153628864
648482,00 00 12.3,-35 28 29,G,,0.41,0.27,57.0,,9154448757049766432
143116,00 00 12.3,-36 31 14,G,,0.55,0.16,53.0,,175301545232818624
976979,00 00 12.3,-10 32 11,G,,0.52,0.47,72.0,,-6186131680774745486
933294,00 00 12.4,-13 46 59,G,,0.42,0.21,20.0,,-5240529107850172745
1068580,00 00 12.5,-03 38 51,G,,0.4,0.07,133.0,,-768113199410434965
1974634,00 00 12.6,+31 59 28,G,,0.49,0.11,156.0,,-4322582928618359828
373314,00 00 12.6,-59 11 15,G,,0.6,0.19,151.0,,4350361833846982381
20,00 00 12.7,+01 07 11,G,Irr,0.93,0.18,131.0,MCG0-01-016           CGCG382-16            IRASF23576+0050,-7427534803733016007
581385,00 00 12.7,-40 53 17,G,,0.36,0.1,154.0,,1715400774587673125
655243,00 00 12.8,-34 57 22,G,,0.49,0.33,170.0,,-6608642973307783024
606178,00 00 12.8,-38 41 50,G,,0.29,0.03,,,-5317099773489729148
958607,00 00 12.8,-12 01 53,G,,0.43,0.18,80.0,,8141159614918308645
846232,00 00 12.9,-20 06 25,G,,0.66,0.38,93.0,,2690316489792574227
1118055,00 00 12.9,-01 27 49,G,,0.46,0.18,172.0,,-4500415787223615162
107765,00 00 13.1,-44 15 37,G,,0.73,0.17,6.0,LCRSB235738.9-443219,-3622022245673793235
18,00 00 13.1,+46 57 55,G,,0.98,0.13,17.0,MCG8-01-019           CGCG549-14            CGCG548-23,7687313792943728739
1008099,00 00 13.1,-08 06 58,G,,0.58,0.27,164.0,,2295564310686378232
198787,00 00 13.1,-27 38 00,G,,0.61,0.13,87.0,DUKST409-58,4235082444875643261
520632,00 00 13.2,-45 57 57,G,,0.4,0.22,90.0,,2800144226719020596
133642,00 00 13.2,-26 43 51,G,E,1.15,0.53,94.0,,-5221354490477101199
483477,00 00 13.3,-48 48 35,G,,0.34,0.04,,,-2831711091026307179
133589,00 00 13.3,-23 45 47,G,E,0.77,0.22,134.0,,596438056126260651
13,00 00 13.3,+33 08 03,G,,0.75,0.1,95.0,CGCG499-29            CGCG498-57,8880376023316808975
1982208,00 00 13.3,+32 08 21,G,,0.39,0.09,178.0,,838887299108064609
198767,00 00 13.4,-29 05 24,G,,0.66,0.24,32.0,DUKST409-38,-8791629407171766129
1124109,00 00 13.5,-01 12 49,G,,0.54,0.31,139.0,,541060520997657990
1663882,00 00 13.5,+22 07 07,G,,0.47,0.08,44.0,,3454071262959426365
479679,00 00 13.5,-49 10 33,G,,0.51,0.18,146.0,,5404637295670297573
1971084,00 00 13.6,+31 55 04,G,,0.42,0.12,141.0,,-6958373177539556684
755636,00 00 13.6,-27 23 32,G,,0.36,0.02,,,8796312938637458079
649296,00 00 13.7,-35 24 27,G,,0.55,0.23,52.0,,7635425442269780733
682523,00 00 13.7,-33 00 20,G,,0.38,0.15,178.0,,-203727521939259836
840854,00 00 13.7,-20 30 10,G,,0.36,0.12,8.0,,5932786075868423849
762389,00 00 13.7,-26 54 27,G,,0.33,0.06,148.0,,-5486013074737967501
107766,00 00 13.7,-44 47 38,G,,,,,LCRSB235739.6-450420,-4630161599032802035
2282521,00 00 13.8,+46 30 53,G,,0.46,0.06,139.0,,-3252210858656242540
133624,00 00 13.8,-25 11 11,M,,0.91,0.37,115.0,,5288456701110458543
1171756,00 00 13.9,+00 39 12,G,,0.44,0.24,64.0,,2412229375354866272
502382,00 00 13.9,-47 22 32,G,,0.39,0.12,26.0,,313747916127115337
2402696,00 00 13.9,+51 55 08,G,,0.69,0.23,57.0,NPM1G+51.0391,228500039784663288
1268546,00 00 14.0,+04 27 44,G,,0.61,0.21,59.0,,6395265987094140742
733689,00 00 14.1,-29 04 36,G,,0.43,0.13,143.0,,-5615617412106852584
